No,Time,Sample Type,Label,6Li (KED),23Na (KED) [ppb],24Mg (KED) [ppb],27Al (KED) [ppb],39K (KED) [ppb],44Ca (KED) [ppb],32S (KED) [ppb],51V (KED) [ppb],52Cr (KED) [ppb],55Mn (KED) [ppb],57Fe (KED) [ppb],59Co (KED) [ppb],60Ni (KED) [ppb],63Cu (KED) [ppb],66Zn (KED) [ppb],71Ga (KED) [ppb],72Ge (KED) [ppb],75As (KED) [ppb],77Se (KED) [ppb],88Sr (KED) [ppb],95Mo (KED) [ppb],105Pd (KED) [ppb],107Ag (KED) [ppb],111Cd (KED) [ppb],182W (KED) [ppb],45Sc (KED),208Pb (KED) [ppb],89Y (KED),113In (KED),209Bi (KED),238U (KED) [ppb],159Tb (KED),Date,Notes,Type,31P (KED) [ppb],90Zr (KED) [ppb],115In (KED),118Sn (KED) [ppb],130Te (KED) [ppb],47Ti (KED) [ppb],195Pt (KED) [ppb],232Th (KED) [ppm],45Sc (KED) [ppb]
No,,Sample Type,Label,6Li (KED),23Na (KED) [ppb],24Mg (KED) [ppb],27Al (KED) [ppb],39K (KED) [ppb],44Ca (KED) [ppb],32S (KED) [ppb],51V (KED) [ppb],52Cr (KED) [ppb],55Mn (KED) [ppb],57Fe (KED) [ppb],59Co (KED) [ppb],60Ni (KED) [ppb],63Cu (KED) [ppb],66Zn (KED) [ppb],71Ga (KED) [ppb],72Ge (KED) [ppb],75As (KED) [ppb],77Se (KED) [ppb],88Sr (KED) [ppb],95Mo (KED) [ppb],105Pd (KED) [ppb],107Ag (KED) [ppb],111Cd (KED) [ppb],182W (KED) [ppb],45Sc (KED),208Pb (KED) [ppb],89Y (KED),113In (KED),209Bi (KED),238U (KED) [ppb],159Tb (KED),,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
3,,STD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
3,,STD,03_5ppb,106.3%,4.343 (5.000),4.593 (5.000),4.704 (5.000),3.901 (5.000),4.992 (5.000),-296.129 (5.000),4.248 (5.000),4.284 (5.000),4.077 (5.000),4.022 (5.000),4.066 (5.000),4.224 (5.000),4.109 (5.000),3.887 (5.000),3.764 (5.000),3.967 (5.000),3.671 (5.000),3.727 (5.000),3.651 (5.000),193.222 (5.000),91.364 (5.000),53.619 (5.000),64.912 (5.000),-2.272 (5.000),108.2%,3.718 (5.000),151.5%,128.6%,138.8%,4.797 (5.000),134.9%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
3,,,1,105.2%,4.138 (5.000),4.714 (5.000),4.853 (5.000),4.202 (5.000),5.039 (5.000),-255.990 (5.000),4.435 (5.000),4.501 (5.000),4.252 (5.000),4.398 (5.000),4.452 (5.000),4.706 (5.000),4.635 (5.000),4.398 (5.000),4.305 (5.000),4.798 (5.000),4.294 (5.000),4.280 (5.000),4.417 (5.000),240.636 (5.000),63.671 (5.000),56.888 (5.000),68.284 (5.000),-2.171 (5.000),106.7%,4.404 (5.000),119.0%,126.6%,113.8%,4.726 (5.000),112.4%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
3,,,2,105.8%,4.682 (5.000),4.616 (5.000),4.880 (5.000),3.968 (5.000),4.966 (5.000),-300.004 (5.000),4.362 (5.000),4.416 (5.000),4.286 (5.000),4.264 (5.000),4.317 (5.000),4.501 (5.000),4.326 (5.000),4.211 (5.000),4.184 (5.000),4.397 (5.000),4.095 (5.000),4.271 (5.000),4.323 (5.000),177.552 (5.000),66.212 (5.000),54.950 (5.000),64.365 (5.000),-0.318 (5.000),109.8%,4.303 (5.000),128.5%,130.3%,121.2%,4.613 (5.000),116.0%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
3,,,3,105.6%,4.330 (5.000),4.464 (5.000),4.611 (5.000),3.553 (5.000),4.725 (5.000),-322.309 (5.000),4.247 (5.000),4.245 (5.000),4.078 (5.000),4.060 (5.000),3.993 (5.000),4.107 (5.000),3.964 (5.000),3.813 (5.000),3.744 (5.000),3.908 (5.000),3.569 (5.000),3.727 (5.000),3.515 (5.000),163.163 (5.000),95.630 (5.000),54.675 (5.000),64.203 (5.000),-1.919 (5.000),108.9%,3.494 (5.000),152.9%,128.0%,140.8%,4.715 (5.000),134.5%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
3,,,4,106.3%,4.298 (5.000),4.513 (5.000),4.608 (5.000),3.516 (5.000),5.185 (5.000),-341.040 (5.000),4.196 (5.000),4.185 (5.000),3.960 (5.000),3.766 (5.000),3.813 (5.000),3.922 (5.000),3.955 (5.000),3.574 (5.000),3.354 (5.000),3.433 (5.000),3.274 (5.000),3.375 (5.000),3.105 (5.000),198.984 (5.000),113.429 (5.000),52.214 (5.000),64.976 (5.000),-3.034 (5.000),107.2%,3.115 (5.000),171.5%,128.8%,159.1%,4.991 (5.000),153.6%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
3,,,5,108.5%,4.267 (5.000),4.657 (5.000),4.569 (5.000),4.264 (5.000),5.046 (5.000),-261.300 (5.000),3.998 (5.000),4.072 (5.000),3.809 (5.000),3.621 (5.000),3.753 (5.000),3.884 (5.000),3.664 (5.000),3.441 (5.000),3.235 (5.000),3.298 (5.000),3.121 (5.000),2.985 (5.000),2.893 (5.000),185.777 (5.000),117.877 (5.000),49.366 (5.000),62.732 (5.000),-3.918 (5.000),108.3%,3.276 (5.000),185.7%,129.3%,159.1%,4.939 (5.000),157.8%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,Residuum:,,-0.7,-0.4,-0.3,-1.1,0.0,-301.1,-0.8,-0.7,-0.9,-1.0,-0.9,-0.8,-0.9,-1.1,-1.2,-1.0,-1.3,-1.3,-1.3,188.2,86.4,48.6,59.9,-7.3,,-1.3,,,,-0.2,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,Confidence Delta:,,+/-0.2,+/-0.2,+/-0.2,+/-0.2,+/-0.1,,+/-0.2,+/-0.2,+/-0.2,+/-0.2,+/-0.2,+/-0.2,+/-0.2,+/-0.1,+/-0.2,+/-0.2,+/-0.2,+/-0.2,+/-0.2,+/-454.3,+/-138.2,+/-82.0,+/-114.6,+/-0.2,,+/-0.2,,,,+/-0.3,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
4,,STD,04_10ppb,113.6%,8.918 (10.000),8.807 (10.000),8.580 (10.000),7.674 (10.000),10.296 (10.000),-486.178 (10.000),8.330 (10.000),8.428 (10.000),8.182 (10.000),8.166 (10.000),8.178 (10.000),8.366 (10.000),8.243 (10.000),8.105 (10.000),7.924 (10.000),8.348 (10.000),7.835 (10.000),7.976 (10.000),8.005 (10.000),215.366 (10.000),110.323 (10.000),95.919 (10.000),110.256 (10.000),0.950 (10.000),114.4%,7.804 (10.000),138.0%,154.3%,144.7%,8.403 (10.000),144.5%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
4,,,1,113.4%,8.887 (10.000),9.000 (10.000),8.402 (10.000),8.020 (10.000),10.053 (10.000),-381.619 (10.000),8.136 (10.000),8.274 (10.000),7.862 (10.000),7.775 (10.000),7.622 (10.000),7.679 (10.000),7.530 (10.000),7.115 (10.000),7.008 (10.000),7.420 (10.000),6.706 (10.000),6.727 (10.000),6.537 (10.000),318.163 (10.000),136.406 (10.000),90.264 (10.000),109.212 (10.000),-5.097 (10.000),113.3%,6.031 (10.000),166.9%,153.7%,171.4%,8.657 (10.000),179.4%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
4,,,2,112.9%,9.078 (10.000),8.933 (10.000),8.478 (10.000),7.777 (10.000),10.077 (10.000),-538.657 (10.000),8.097 (10.000),8.202 (10.000),7.896 (10.000),7.597 (10.000),7.782 (10.000),7.915 (10.000),7.594 (10.000),7.303 (10.000),7.240 (10.000),7.468 (10.000),7.054 (10.000),7.260 (10.000),6.927 (10.000),230.037 (10.000),122.709 (10.000),93.361 (10.000),106.670 (10.000),-2.611 (10.000),115.3%,9.137 (10.000),156.3%,156.5%,170.5%,7.965 (10.000),165.6%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
4,,,3,114.7%,9.127 (10.000),8.559 (10.000),8.477 (10.000),7.406 (10.000),9.954 (10.000),-373.383 (10.000),8.543 (10.000),8.508 (10.000),8.351 (10.000),8.706 (10.000),8.490 (10.000),8.746 (10.000),8.656 (10.000),8.516 (10.000),8.299 (10.000),9.264 (10.000),8.277 (10.000),8.215 (10.000),8.392 (10.000),169.110 (10.000),94.979 (10.000),100.924 (10.000),112.209 (10.000),3.738 (10.000),113.8%,7.433 (10.000),127.4%,151.9%,133.0%,8.665 (10.000),133.8%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
4,,,4,113.4%,8.753 (10.000),8.753 (10.000),8.917 (10.000),7.806 (10.000),10.206 (10.000),-537.318 (10.000),8.481 (10.000),8.706 (10.000),8.440 (10.000),8.379 (10.000),8.573 (10.000),8.851 (10.000),8.834 (10.000),8.847 (10.000),8.439 (10.000),8.937 (10.000),8.580 (10.000),8.850 (10.000),9.063 (10.000),171.422 (10.000),100.776 (10.000),96.505 (10.000),112.643 (10.000),5.657 (10.000),113.3%,8.087 (10.000),119.2%,156.1%,125.6%,8.750 (10.000),123.4%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
4,,,5,113.7%,8.744 (10.000),8.788 (10.000),8.626 (10.000),7.358 (10.000),11.190 (10.000),-599.912 (10.000),8.394 (10.000),8.450 (10.000),8.362 (10.000),8.372 (10.000),8.422 (10.000),8.639 (10.000),8.604 (10.000),8.747 (10.000),8.635 (10.000),8.653 (10.000),8.559 (10.000),8.829 (10.000),9.107 (10.000),188.097 (10.000),96.746 (10.000),98.543 (10.000),110.547 (10.000),3.065 (10.000),116.3%,8.331 (10.000),120.0%,153.3%,123.2%,7.977 (10.000),120.1%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,Residuum:,,-1.1,-1.2,-1.4,-2.3,0.3,-496.2,-1.7,-1.6,-1.8,-1.8,-1.8,-1.6,-1.8,-1.9,-2.1,-1.7,-2.2,-2.0,-2.0,205.4,100.3,85.9,100.3,-9.0,,-2.2,,,,-1.6,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,Confidence Delta:,,+/-0.3,+/-0.4,+/-0.4,+/-0.4,+/-0.2,,+/-0.4,+/-0.4,+/-0.4,+/-0.4,+/-0.4,+/-0.4,+/-0.4,+/-0.3,+/-0.4,+/-0.4,+/-0.4,+/-0.4,+/-0.4,+/-506.3,+/-166.8,+/-146.7,+/-194.6,+/-0.1,,+/-0.4,,,,+/-0.5,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
5,,STD,05_50ppb,110.2%,48.709 (50.000),45.973 (50.000),45.514 (50.000),49.346 (50.000),52.764 (50.000),-318.044 (50.000),44.189 (50.000),45.191 (50.000),44.599 (50.000),45.293 (50.000),45.716 (50.000),46.109 (50.000),46.384 (50.000),51.140 (50.000),45.737 (50.000),47.403 (50.000),45.467 (50.000),46.882 (50.000),48.654 (50.000),260.519 (50.000),251.894 (50.000),266.100 (50.000),285.263 (50.000),39.657 (50.000),107.6%,44.726 (50.000),108.8%,310.9%,112.2%,43.802 (50.000),108.9%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
5,,,1,115.6%,46.785 (50.000),44.265 (50.000),43.495 (50.000),48.503 (50.000),54.081 (50.000),-332.600 (50.000),44.887 (50.000),45.129 (50.000),43.620 (50.000),45.516 (50.000),45.843 (50.000),46.023 (50.000),47.089 (50.000),52.206 (50.000),45.982 (50.000),46.938 (50.000),45.901 (50.000),47.348 (50.000),48.555 (50.000),313.279 (50.000),248.826 (50.000),264.172 (50.000),289.318 (50.000),39.365 (50.000),108.8%,44.085 (50.000),107.0%,312.7%,111.6%,45.035 (50.000),106.7%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
5,,,2,110.2%,48.709 (50.000),45.912 (50.000),45.358 (50.000),48.112 (50.000),51.928 (50.000),-378.708 (50.000),43.492 (50.000),44.746 (50.000),44.300 (50.000),45.136 (50.000),45.970 (50.000),45.973 (50.000),45.856 (50.000),50.741 (50.000),45.991 (50.000),45.068 (50.000),44.972 (50.000),45.897 (50.000),49.257 (50.000),289.711 (50.000),254.931 (50.000),259.312 (50.000),277.761 (50.000),39.116 (50.000),108.5%,45.557 (50.000),110.7%,318.1%,110.9%,43.709 (50.000),108.7%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
5,,,3,107.8%,50.500 (50.000),47.672 (50.000),46.092 (50.000),49.901 (50.000),52.319 (50.000),-317.847 (50.000),43.692 (50.000),44.963 (50.000),45.405 (50.000),44.582 (50.000),44.282 (50.000),46.562 (50.000),46.639 (50.000),51.073 (50.000),46.299 (50.000),49.660 (50.000),45.740 (50.000),46.647 (50.000),49.019 (50.000),218.713 (50.000),257.561 (50.000),276.040 (50.000),285.024 (50.000),38.151 (50.000),108.0%,43.240 (50.000),108.1%,309.0%,116.4%,41.915 (50.000),113.9%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
5,,,4,108.6%,48.579 (50.000),46.038 (50.000),45.844 (50.000),49.193 (50.000),51.918 (50.000),-345.562 (50.000),44.850 (50.000),45.773 (50.000),44.409 (50.000),45.339 (50.000),45.303 (50.000),45.761 (50.000),46.247 (50.000),50.910 (50.000),44.793 (50.000),49.074 (50.000),44.970 (50.000),46.625 (50.000),46.908 (50.000),239.017 (50.000),255.669 (50.000),266.427 (50.000),292.383 (50.000),40.571 (50.000),107.8%,44.409 (50.000),110.5%,304.6%,111.7%,44.701 (50.000),108.1%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
5,,,5,109.0%,48.976 (50.000),45.978 (50.000),46.780 (50.000),51.021 (50.000),53.575 (50.000),-215.500 (50.000),44.024 (50.000),45.343 (50.000),45.261 (50.000),45.892 (50.000),47.182 (50.000),46.226 (50.000),46.090 (50.000),50.770 (50.000),45.617 (50.000),46.273 (50.000),45.752 (50.000),47.891 (50.000),49.532 (50.000),241.872 (50.000),242.483 (50.000),264.547 (50.000),281.831 (50.000),41.080 (50.000),105.1%,46.338 (50.000),108.0%,310.1%,110.4%,43.648 (50.000),107.3%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
